Citing,Cited,pos_max,pos_avg,neg_max,neg_avg,neu_max,neu_avg,com_max,com_avg
compstat-2010,1,0.058,0.058,0.009,0.009,0.933,0.933,0.6232,0.6232
Cortes-Vapnik1995_Article_Support-VectorNetworks,1,0.202,0.1305,0.013,0.0065,0.928,0.863,0.9565,0.82365
Robbins1951,1,0.058,0.058,0.009,0.009,0.933,0.933,0.6232,0.6232
1978915.1978919,2,0.054,0.054,0.026,0.026,0.92,0.92,0.5648,0.5648
learning-features-2009-TR,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1-s2.0-016727389290072W-main,3,0.075,0.075,0.0,0.0,0.925,0.925,0.9803,0.9803
1-s2.0-S0378775312019490-main,3,0.075,0.075,0.0,0.0,0.925,0.925,0.9803,0.9803
BFOscience,3,0.075,0.075,0.0,0.0,0.925,0.925,0.9803,0.9803
s41563-018-0275-2,3,0.075,0.075,0.0,0.0,0.925,0.925,0.9803,0.9803
1404.7456,4,0.244,0.244,0.074,0.074,0.682,0.682,0.926,0.926
Lucchi14,4,0.012,0.012,0.0,0.0,0.988,0.988,0.0772,0.0772
1512.03385,5,0.058,0.058,0.0,0.0,0.942,0.942,0.6808,0.6808
4824-imagenet-classification-with-deep-convolutional-neural-networks,5,0.146,0.102,0.022,0.011,0.942,0.8875,0.9313,0.8060499999999999
mobilenets,5,0.058,0.058,0.0,0.0,0.942,0.942,0.6808,0.6808
1-s2.0-S1074761318301213-main,6,0.099,0.099,0.182,0.182,0.718,0.718,-0.8402,-0.8402
nihms958989,6,0.121,0.079,0.082,0.05533333333333334,0.94,0.8656666666666667,0.6124,0.3376333333333334
1505.04366,7,0.025,0.025,0.0,0.0,0.975,0.975,0.4588,0.4588
1506.01497,7,0.025,0.025,0.0,0.0,0.975,0.975,0.4588,0.4588
4824-imagenet-classification-with-deep-convolutional-neural-networks(1),7,0.025,0.025,0.0,0.0,0.975,0.975,0.4588,0.4588
1202.2745,8,0.092,0.092,0.034,0.034,0.874,0.874,0.9676,0.9676
remotesensing-08-00715,8,0.016,0.016,0.025,0.025,0.96,0.96,-0.1371,-0.1371
1402.4735,9,0.055,0.055,0.037,0.037,0.907,0.907,0.2023,0.2023
1408.5093,9,0.145,0.124,0.046,0.023,0.855,0.853,0.9748,0.92765
1508.02788,9,0.103,0.103,0.046,0.046,0.851,0.851,0.9748,0.9748
koutnik2014gecco,9,0.103,0.103,0.046,0.046,0.851,0.851,0.9748,0.9748
1-s2.0-S016890029700048X-main,10,0.118,0.118,0.05,0.05,0.832,0.832,0.8442,0.8442
Lecun98,10,0.193,0.16,0.071,0.058499999999999996,0.826,0.7815,0.8126,0.6616
1402.4735(1),11,0.044,0.044,0.046,0.046,0.911,0.911,-0.0387,-0.0387
1503.03832,11,0.165,0.165,0.048,0.048,0.788,0.788,0.9153,0.9153
NatureDeepReview,11,0.082,0.082,0.067,0.067,0.851,0.851,0.2935,0.2935
9,4,0.15,0.094,0.06,0.023,0.95,0.883,0.9538,0.490375
9,8,0.118,0.118,0.044,0.044,0.838,0.838,0.9091,0.9091
4,1,0.202,0.1305,0.013,0.0065,0.928,0.863,0.9565,0.82365
11,10,0.012,0.012,0.0,0.0,0.988,0.988,0.2732,0.2732
4,7,0.132,0.0965,0.015,0.0075,0.939,0.8959999999999999,0.9756,0.9667
1,6,0.091,0.056333333333333326,0.044,0.017666666666666667,1.0,0.9263333333333333,0.9612,0.5654333333333333
